time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708502332.02568173,0.01177079,3065,0.00059024,0.00000000,0,0.00000000,395,522,204,0.00000000
1708502332.12471390,0.00615842,3046,0.00055962,0.00000000,0,0.00000000,522,588,131,0.00154196
1708502332.22577381,0.00510104,3029,0.00035303,0.00000000,0,0.00000000,588,609,89,0.00149112
1708502332.32572579,0.00453700,3092,0.00031437,0.00000000,0,0.00000000,609,639,97,0.00033603
1708502332.42476034,0.00932943,3037,0.00087910,0.00000000,0,0.00000000,639,618,75,0.00034582
1708502332.52583075,0.00798350,3024,0.00036967,0.00000000,0,0.00000000,618,625,69,0.00024704
1708502332.62567043,0.00652306,3031,0.00020697,0.00000000,0,0.00000000,625,671,57,0.00021489
1708502332.72467446,0.00505546,2993,0.00028267,0.00000000,0,0.00000000,671,690,63,0.00033664
1708502332.82576895,0.00490243,3067,0.00022242,0.00000000,0,0.00000000,690,694,54,0.00061034
1708502332.92570448,0.00660488,3023,0.00039068,0.00000000,0,0.00000000,694,641,48,0.00064285
1708502333.02479768,0.00407657,3067,0.00020356,0.00000000,0,0.00000000,641,666,44,0.00021532
1708502333.12464952,0.00543383,3075,0.00024290,0.00000000,0,0.00000000,666,678,47,0.00057421
1708502333.22568202,0.01578156,2997,0.00016818,0.00000000,0,0.00000000,678,683,44,0.00043511
1708502333.32470870,0.00470758,3147,0.00016441,0.00000000,0,0.00000000,683,695,41,0.00045059
1708502333.42587090,0.01123278,3003,0.00022375,0.00000000,0,0.00000000,695,684,44,0.00031874
1708502333.52573633,0.00546810,3090,0.00023763,0.00000000,0,0.00000000,684,653,37,0.00029786
1708502333.62470150,0.00362912,3106,0.00011260,0.00000000,0,0.00000000,653,658,29,0.00025814
1708502333.72459078,0.01429321,3033,0.00010289,0.00000000,0,0.00000000,658,672,25,0.00026188
1708502333.82576561,0.00700443,3135,0.00021069,0.00000000,0,0.00000000,672,663,37,0.00024436
1708502333.92479944,0.00660647,3016,0.00011617,0.00000000,0,0.00000000,663,675,20,0.00023118
1708502334.02575803,0.03384748,3044,0.00012326,0.00000000,0,0.00000000,675,682,24,0.00027366
1708502334.12573671,0.00806697,3094,0.00037689,0.00000000,0,0.00000000,682,655,22,0.00027790
1708502334.22471571,0.00472541,3024,0.00007932,0.00000000,0,0.00000000,655,663,19,0.00043875
1708502334.32585239,0.00974690,3159,0.00007827,0.00000000,0,0.00000000,663,674,11,0.00043045
